"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","HRWKD","TOT","HR_WKD","A","2015",1495,
"AUT","HRWKD","TOT","HR_WKD","A","2016",1507,
"AUT","HRWKD","TOT","HR_WKD","A","2017",1498,
"AUT","HRWKD","TOT","HR_WKD","A","2018",1502,
"AUT","HRWKD","TOT","HR_WKD","A","2019",1501,
"BEL","HRWKD","TOT","HR_WKD","A","2015",1575,
"BEL","HRWKD","TOT","HR_WKD","A","2016",1574,
"BEL","HRWKD","TOT","HR_WKD","A","2017",1578,
"BEL","HRWKD","TOT","HR_WKD","A","2018",1583,
"CAN","HRWKD","TOT","HR_WKD","A","2015",1712,
"CAN","HRWKD","TOT","HR_WKD","A","2016",1706,
"CAN","HRWKD","TOT","HR_WKD","A","2017",1695,
"CAN","HRWKD","TOT","HR_WKD","A","2018",1708,
"CAN","HRWKD","TOT","HR_WKD","A","2019",1670,
"CZE","HRWKD","TOT","HR_WKD","A","2015",1756,
"CZE","HRWKD","TOT","HR_WKD","A","2016",1779,
"CZE","HRWKD","TOT","HR_WKD","A","2017",1784,
"CZE","HRWKD","TOT","HR_WKD","A","2018",1792,
"CZE","HRWKD","TOT","HR_WKD","A","2019",1788,
"DNK","HRWKD","TOT","HR_WKD","A","2015",1407,
"DNK","HRWKD","TOT","HR_WKD","A","2016",1412,
"DNK","HRWKD","TOT","HR_WKD","A","2017",1405,
"DNK","HRWKD","TOT","HR_WKD","A","2018",1382,
"DNK","HRWKD","TOT","HR_WKD","A","2019",1380,
"FIN","HRWKD","TOT","HR_WKD","A","2015",1555,
"FIN","HRWKD","TOT","HR_WKD","A","2016",1555,
"FIN","HRWKD","TOT","HR_WKD","A","2017",1549,
"FIN","HRWKD","TOT","HR_WKD","A","2018",1546,
"FIN","HRWKD","TOT","HR_WKD","A","2019",1540,
"FRA","HRWKD","TOT","HR_WKD","A","2015",1519,
"FRA","HRWKD","TOT","HR_WKD","A","2016",1522,
"FRA","HRWKD","TOT","HR_WKD","A","2017",1505,
"FRA","HRWKD","TOT","HR_WKD","A","2018",1495,
"FRA","HRWKD","TOT","HR_WKD","A","2019",1505,
"DEU","HRWKD","TOT","HR_WKD","A","2015",1400.8,
"DEU","HRWKD","TOT","HR_WKD","A","2016",1394.8,
"DEU","HRWKD","TOT","HR_WKD","A","2017",1391.3,
"DEU","HRWKD","TOT","HR_WKD","A","2018",1389.9,
"DEU","HRWKD","TOT","HR_WKD","A","2019",1386.09999999999,
"GRC","HRWKD","TOT","HR_WKD","A","2015",1944,
"GRC","HRWKD","TOT","HR_WKD","A","2016",1943,
"GRC","HRWKD","TOT","HR_WKD","A","2017",1957,
"GRC","HRWKD","TOT","HR_WKD","A","2018",1956,
"GRC","HRWKD","TOT","HR_WKD","A","2019",1949,
"HUN","HRWKD","TOT","HR_WKD","A","2015",1745.9,
"HUN","HRWKD","TOT","HR_WKD","A","2016",1760.2,
"HUN","HRWKD","TOT","HR_WKD","A","2017",1747.4,
"HUN","HRWKD","TOT","HR_WKD","A","2018",1728.9,
"HUN","HRWKD","TOT","HR_WKD","A","2019",1725.2,
"IRL","HRWKD","TOT","HR_WKD","A","2015",1771,
"IRL","HRWKD","TOT","HR_WKD","A","2016",1763,
"IRL","HRWKD","TOT","HR_WKD","A","2017",1775,
"IRL","HRWKD","TOT","HR_WKD","A","2018",1785,
"IRL","HRWKD","TOT","HR_WKD","A","2019",1772,
"ITA","HRWKD","TOT","HR_WKD","A","2015",1717.5,
"ITA","HRWKD","TOT","HR_WKD","A","2016",1721.7,
"ITA","HRWKD","TOT","HR_WKD","A","2017",1719.2,
"ITA","HRWKD","TOT","HR_WKD","A","2018",1722.3,
"ITA","HRWKD","TOT","HR_WKD","A","2019",1717.8,
"JPN","HRWKD","TOT","HR_WKD","A","2015",1719,
"JPN","HRWKD","TOT","HR_WKD","A","2016",1714,
"JPN","HRWKD","TOT","HR_WKD","A","2017",1709,
"JPN","HRWKD","TOT","HR_WKD","A","2018",1680,
"JPN","HRWKD","TOT","HR_WKD","A","2019",1644,
"LUX","HRWKD","TOT","HR_WKD","A","2015",1514,
"LUX","HRWKD","TOT","HR_WKD","A","2016",1513,
"LUX","HRWKD","TOT","HR_WKD","A","2017",1507,
"LUX","HRWKD","TOT","HR_WKD","A","2018",1506,
"LUX","HRWKD","TOT","HR_WKD","A","2019",1506,
"NLD","HRWKD","TOT","HR_WKD","A","2015",1426,
"NLD","HRWKD","TOT","HR_WKD","A","2016",1437,
"NLD","HRWKD","TOT","HR_WKD","A","2017",1435,
"NLD","HRWKD","TOT","HR_WKD","A","2018",1431,
"NLD","HRWKD","TOT","HR_WKD","A","2019",1434,
"POL","HRWKD","TOT","HR_WKD","A","2015",1829,
"POL","HRWKD","TOT","HR_WKD","A","2016",1831,
"POL","HRWKD","TOT","HR_WKD","A","2017",1812,
"POL","HRWKD","TOT","HR_WKD","A","2018",1787,
"POL","HRWKD","TOT","HR_WKD","A","2019",1806,
"PRT","HRWKD","TOT","HR_WKD","A","2015",1732,
"PRT","HRWKD","TOT","HR_WKD","A","2016",1737,
"PRT","HRWKD","TOT","HR_WKD","A","2017",1727,
"PRT","HRWKD","TOT","HR_WKD","A","2018",1722,
"PRT","HRWKD","TOT","HR_WKD","A","2019",1719,
"SVK","HRWKD","TOT","HR_WKD","A","2015",1754,
"SVK","HRWKD","TOT","HR_WKD","A","2016",1740,
"SVK","HRWKD","TOT","HR_WKD","A","2017",1714,
"SVK","HRWKD","TOT","HR_WKD","A","2018",1704,
"SVK","HRWKD","TOT","HR_WKD","A","2019",1695,
"ESP","HRWKD","TOT","HR_WKD","A","2015",1694.2,
"ESP","HRWKD","TOT","HR_WKD","A","2016",1701.5,
"ESP","HRWKD","TOT","HR_WKD","A","2017",1689.5,
"ESP","HRWKD","TOT","HR_WKD","A","2018",1695.5,
"ESP","HRWKD","TOT","HR_WKD","A","2019",1686,
"SWE","HRWKD","TOT","HR_WKD","A","2015",1466,
"SWE","HRWKD","TOT","HR_WKD","A","2016",1478,
"SWE","HRWKD","TOT","HR_WKD","A","2017",1467,
"SWE","HRWKD","TOT","HR_WKD","A","2018",1466,
"SWE","HRWKD","TOT","HR_WKD","A","2019",1452,
"GBR","HRWKD","TOT","HR_WKD","A","2015",1527,
"GBR","HRWKD","TOT","HR_WKD","A","2016",1541,
"GBR","HRWKD","TOT","HR_WKD","A","2017",1540,
"GBR","HRWKD","TOT","HR_WKD","A","2018",1535,
"GBR","HRWKD","TOT","HR_WKD","A","2019",1538,
"USA","HRWKD","TOT","HR_WKD","A","2015",1783,
"USA","HRWKD","TOT","HR_WKD","A","2016",1778,
"USA","HRWKD","TOT","HR_WKD","A","2017",1778,
"USA","HRWKD","TOT","HR_WKD","A","2018",1783,
"USA","HRWKD","TOT","HR_WKD","A","2019",1779,
"EST","HRWKD","TOT","HR_WKD","A","2015",1763,
"EST","HRWKD","TOT","HR_WKD","A","2016",1767,
"EST","HRWKD","TOT","HR_WKD","A","2017",1768,
"EST","HRWKD","TOT","HR_WKD","A","2018",1724,
"EST","HRWKD","TOT","HR_WKD","A","2019",1711,
"SVN","HRWKD","TOT","HR_WKD","A","2015",1687.3,
"SVN","HRWKD","TOT","HR_WKD","A","2016",1652.4,
"SVN","HRWKD","TOT","HR_WKD","A","2017",1621.5,
"SVN","HRWKD","TOT","HR_WKD","A","2018",1598.7,
"SVN","HRWKD","TOT","HR_WKD","A","2019",1592.9,
"OECD","HRWKD","TOT","HR_WKD","A","2015",1745,
"OECD","HRWKD","TOT","HR_WKD","A","2016",1745,
"OECD","HRWKD","TOT","HR_WKD","A","2017",1739,
"OECD","HRWKD","TOT","HR_WKD","A","2018",1735,
"OECD","HRWKD","TOT","HR_WKD","A","2019",1726,
"LVA","HRWKD","TOT","HR_WKD","A","2015",1694,
"LVA","HRWKD","TOT","HR_WKD","A","2016",1694,
"LVA","HRWKD","TOT","HR_WKD","A","2017",1680,
"LVA","HRWKD","TOT","HR_WKD","A","2018",1692,
"LVA","HRWKD","TOT","HR_WKD","A","2019",1661,
"LTU","HRWKD","TOT","HR_WKD","A","2015",1643,
"LTU","HRWKD","TOT","HR_WKD","A","2016",1664,
"LTU","HRWKD","TOT","HR_WKD","A","2017",1627,
"LTU","HRWKD","TOT","HR_WKD","A","2018",1634,
"LTU","HRWKD","TOT","HR_WKD","A","2019",1635,
